State,ImportValue,ImportWeight,ImportTonMile,ExportValue,ExportWeight,ImportTonMile
AL,22199.00,52842.00,5026.00,22330.00,49326.00,3770.00
MI,31552.00,55174.00,8652.00,19406.00,30930.00,3124.00
WV,2867.00,10646.00,380.00,2659.00,9732.00,291.00
UT,12009.00,19104.00,2110.00,10285.00,18206.00,1471.00
KS,19093.00,230624.00,9029.00,34933.00,248566.00,15993.00
MT,2179.00,5514.00,358.00,2116.00,5484.00,540.00
DE,2700.00,3842.00,183.00,3010.00,5650.00,1139.00
WA,27099.00,61760.00,19971.00,21044.00,37958.00,5724.00
FL,92740.00,169800.00,22769.00,77384.00,156080.00,17495.00
TX,79874.00,192602.00,36533.00,62675.00,142654.00,14132.00
PA,78652.00,169224.00,20495.00,58965.00,124166.00,6818.00
AK,336.00,800.00,24.00,1013.00,1298.00,221.00
AR,3597.00,7854.00,1266.00,14963.00,20724.00,5527.00
CO,17742.00,33556.00,3000.00,18958.00,33120.00,2624.00
NJ,21614.00,36956.00,6725.00,23100.00,39562.00,3742.00
NV,10572.00,16604.00,1092.00,9715.00,13392.00,1180.00
WY,365.00,948.00,44.00,458.00,1366.00,148.00
MN,29164.00,98472.00,9736.00,33400.00,217126.00,125575.00
SD,2273.00,13632.00,435.00,4595.00,47066.00,4590.00
OK,9855.00,23248.00,4053.00,6180.00,12426.00,3206.00
TN,28750.00,60924.00,7438.00,39365.00,67986.00,9886.00
KY,9987.00,22016.00,2695.00,13440.00,26660.00,3542.00
WI,49129.00,85684.00,9335.00,56416.00,87852.00,8564.00
NH,2318.00,5182.00,145.00,4296.00,8858.00,416.00
VT,3294.00,9154.00,243.00,4846.00,11676.00,1021.00
AZ,11789.00,16918.00,3839.00,7395.00,7646.00,635.00
OH,40871.00,100692.00,12012.00,43075.00,108572.00,15014.00
OR,7749.00,16942.00,3773.00,10292.00,22916.00,3592.00
SC,24256.00,40042.00,3549.00,22381.00,33518.00,1764.00
ND,4511.00,32208.00,1772.00,7033.00,50982.00,10498.00
IN,24069.00,68082.00,4803.00,22956.00,93750.00,15728.00
MO,18143.00,27700.00,5903.00,15259.00,67416.00,22721.00
RI,685.00,2080.00,20.00,339.00,1372.00,7.00
NM,2399.00,4384.00,1031.00,3210.00,4424.00,613.00
ME,1495.00,3120.00,416.00,958.00,1538.00,45.00
ID,1449.00,3444.00,263.00,7666.00,18814.00,11378.00
NY,30946.00,43960.00,10639.00,27800.00,42112.00,6897.00
LA,69317.00,1045434.00,287439.00,46066.00,627394.00,12233.00
DC,452.00,174.00,3.00,0.00,0.00,0.00
CT,7339.00,7932.00,542.00,7209.00,7654.00,483.00
HI,3876.00,6362.00,707.00,3810.00,6254.00,615.00
IA,18702.00,61940.00,3832.00,32175.00,152920.00,59874.00
NC,42879.00,72488.00,8911.00,36795.00,63996.00,5871.00
MD,23753.00,38066.00,4558.00,22825.00,40516.00,2194.00
GA,49397.00,83266.00,12394.00,47079.00,77296.00,8990.00
MA,24480.00,28152.00,3425.00,21019.00,18502.00,1040.00
NE,14212.00,17366.00,1541.00,35600.00,29700.00,6860.00
VA,26255.00,56548.00,4098.00,30568.00,60632.00,4353.00
MS,12420.00,29590.00,2639.00,14067.00,29794.00,3569.00
CA,283722.00,451082.00,59461.00,280383.00,455890.00,59781.00
IL,65881.00,143294.00,16542.00,79495.00,345956.00,130355.00
