Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,TonMiles
UT,WA,F06,T14,25.46,2.81,1.06
AK,OR,F05,T04,41.24,10.22,5.54
VA,GA,F04,T14,0.91,0.10,0.03
VA,MI,F07,T04,48.18,35.20,11.76
MN,NY,F00,T00,21.14,58.72,38.55
IN,IA,F00,T00,12.81,127.99,32.45
SD,WA,F04,T00,4.70,14.65,13.63
IL,MN,F09,T14,1.86,0.10,0.02
FL,OK,F06,T04,1.95,1.25,0.83
IL,MS,F07,T14,0.03,0.00,0.00
NC,MS,F04,T04,7.48,12.99,5.58
ND,MI,F02,T04,3.08,5.94,2.46
NH,CT,F04,T05,4.06,13.63,1.14
AR,AL,F04,T04,17.95,7.25,1.84
SD,IA,F04,T05,156.33,250.02,15.32
VA,UT,F03,T04,1.14,0.83,0.87
CO,UT,F00,T00,0.00,0.00,0.00
MT,MT,F03,T05,18.54,77.75,2.37
KY,CA,F09,T14,0.30,0.01,0.01
VA,NV,F00,T00,0.02,0.00,0.00
CA,NE,F05,T14,0.06,0.01,0.01
WI,MD,F04,T14,7.32,0.62,0.25
OH,IN,F09,T05,5.76,3.58,0.12
LA,CA,F06,T00,54.13,221.80,223.19
OH,NM,F03,T14,3.23,0.38,0.29
OH,LA,F04,T04,5.58,4.50,2.28
TX,TX,F06,T04,2880.80,3140.50,227.09
MO,OH,F05,T04,94.37,62.21,18.91
FL,NC,F07,T14,2.36,0.06,0.02
IL,OR,F00,T00,5.91,2.87,3.22
UT,CA,F05,T04,498.51,197.78,75.15
AR,MA,F08,T00,17.32,8.08,7.32
MO,MN,F04,T04,162.24,275.76,80.70
FL,NY,F06,T04,26.26,19.99,13.31
CA,AL,F08,T04,62.29,51.08,61.65
DE,OK,F07,T04,0.11,0.12,0.08
NC,FL,F07,T14,0.50,0.06,0.02
PA,VA,F09,T14,2.91,0.05,0.01
MI,AZ,F03,T14,2.48,0.71,0.67
TN,MO,F07,T00,12.88,16.43,4.25
VT,SC,F07,T04,5.96,1.73,0.90
TN,VA,F03,T14,2.36,0.23,0.10
IL,GA,F03,T00,102.96,363.61,207.83
ID,ME,F07,T04,3.20,0.57,0.84
IA,CT,F04,T14,0.00,0.00,0.00
ME,NY,F08,T04,4.26,5.46,0.86
NC,IL,F04,T04,2.01,20.72,8.05
NY,VA,F09,T05,16.36,8.69,2.05
DE,NY,F07,T04,8.33,5.45,0.92
IN,KY,F07,T14,1.09,0.10,0.01
TX,SC,F06,T04,5.42,10.92,5.92
NY,WA,F03,T14,0.22,0.01,0.01
NE,MO,F00,T00,0.09,0.03,0.00
ID,AZ,F03,T14,2.60,0.00,0.00
VA,VT,F09,T04,0.38,0.02,0.01
FL,KS,F01,T04,17.07,12.67,10.31
NV,CA,F07,T14,11.53,4.95,0.70
NJ,CO,F07,T14,3.22,0.51,0.45
AL,TN,F07,T05,242.82,556.49,44.41
FL,VT,F09,T14,11.47,0.39,0.28
MN,IA,F02,T04,95.38,680.21,60.74
ME,CA,F04,T14,2.04,0.34,0.53
MA,IN,F06,T04,9.72,6.07,2.79
IN,SD,F02,T04,422.87,79.59,28.45
MD,NJ,F08,T14,1.08,0.33,0.03
CA,IN,F06,T04,39.49,30.29,32.06
IA,IN,F07,T06,10.41,6.48,1.27
KY,LA,F06,T04,26.31,23.81,9.32
WI,PA,F07,T06,4.76,7.33,3.33
TX,OR,F04,T06,21.50,18.18,22.24
ME,TN,F03,T14,1.51,0.15,0.08
ME,WA,F04,T04,0.22,0.01,0.02
LA,NE,F03,T04,0.54,0.29,0.20
NH,NH,F05,T14,0.04,0.01,0.00
CA,CA,F06,T05,5236.84,7056.19,199.48
GA,MS,F06,T05,4.65,5.73,1.07
MN,AR,F07,T14,2.22,0.27,0.13
MO,NV,F07,T04,90.04,115.83,97.69
IL,NE,F04,T06,13.13,149.65,37.11
CA,MA,F03,T14,0.67,0.09,0.13
CA,IL,F04,T14,0.09,0.01,0.01
NY,MD,F07,T14,1.59,0.12,0.03
MI,NV,F03,T04,3.30,2.10,2.22
CA,TX,F08,T00,33.40,18.63,16.13
SC,MS,F00,T00,1.17,0.09,0.02
NM,WA,F03,T04,0.03,0.01,0.01
MS,AL,F07,T14,25.59,6.84,1.37
CA,TX,F07,T11,0.01,0.01,0.01
MO,IA,F06,T00,3.20,6.39,0.88
ND,CA,F03,T04,518.79,654.80,651.43
MS,MS,F00,T00,21.63,24.36,0.43
TX,SC,F03,T14,5.65,3.26,2.39
PA,CA,F06,T14,0.01,0.01,0.01
OH,ME,F08,T04,6.65,17.23,8.66
MO,IA,F04,T14,0.02,0.01,0.00
KY,VA,F09,T14,0.39,0.03,0.01
NC,IN,F07,T04,14.70,20.42,5.94
TN,SC,F07,T05,57.60,302.94,44.74
MO,WA,F08,T14,0.01,0.00,0.00
NJ,DC,F05,T05,23.88,3.23,0.31
DE,VA,F02,T04,3.35,10.76,1.25
IN,NC,F06,T14,0.32,0.04,0.01
UT,ME,F07,T14,0.54,0.03,0.04
NE,PA,F04,T04,22.26,28.33,16.86
NC,MA,F09,T04,471.76,13.47,5.11
MA,KS,F05,T14,0.12,0.01,0.01
SC,CO,F03,T14,0.06,0.00,0.00
CO,WI,F02,T06,49.76,254.42,136.75
TN,PA,F07,T06,29.88,55.39,33.07
AK,TX,F08,T00,6.49,10.82,15.26
TN,SC,F06,T05,126.48,109.51,16.88
CA,NM,F08,T14,2.14,0.23,0.14
VT,NE,F06,T14,1.28,0.11,0.08
MN,CA,F07,T06,200.85,651.13,720.16
